auPR,auROC
0.2796201553181712,0.6941993264747035
0.26521610002679663,0.6962095274948055
0.27114760038955077,0.7126595837153809
0.27059127252027304,0.7021565707972667
0.27189478838631054,0.7075369219164908
0.2755255340384556,0.6967650036031641
0.3056349626007582,0.7140848664305683
0.2690575460710379,0.7120062473537074
0.28474443731527976,0.7045629796624523
0.28917640680784346,0.7009710316826074
0.25761217895836064,0.7054036244745969
0.2567695813118711,0.6973263681508337
0.27481014714592356,0.7056576685705954
0.29256322886370256,0.6974365660865152
0.2805242780164341,0.7064139124192793
0.31042146996069514,0.716279571882422
0.28810081171264307,0.6924053152978851
0.2954503437371528,0.7106519063121266
0.2724741707213245,0.6979079216332849
0.26573772100000936,0.6988702608578615
