Mode,Seed,N (negatives),Data Selection,Test Set,Metric,Value
class_imbalanced,1,508,random,Restricted Similarity,auROC,0.5549999999999999
class_imbalanced,1,508,random,Restricted Similarity,auPR,0.5686843207302851
class_imbalanced,1,508,random,Random (20%),auROC,0.8904108241160913
class_imbalanced,1,508,random,Random (20%),auPR,0.250650806732254
class_imbalanced,1,508,similar,Restricted Similarity,auROC,0.5327272727272727
class_imbalanced,1,508,similar,Restricted Similarity,auPR,0.540713650447047
class_imbalanced,1,508,similar,Random (20%),auROC,0.8314204764244975
class_imbalanced,1,508,similar,Random (20%),auPR,0.133344789658758
class_imbalanced,1,508,diverse,Restricted Similarity,auROC,0.5272727272727273
class_imbalanced,1,508,diverse,Restricted Similarity,auPR,0.5524551252160138
class_imbalanced,1,508,diverse,Random (20%),auROC,0.3902781234908296
class_imbalanced,1,508,diverse,Random (20%),auPR,0.0293368146186676
class_imbalanced,1,1017,random,Restricted Similarity,auROC,0.5595454545454546
class_imbalanced,1,1017,random,Restricted Similarity,auPR,0.5644370277197241
class_imbalanced,1,1017,random,Random (20%),auROC,0.9055570447810092
class_imbalanced,1,1017,random,Random (20%),auPR,0.2936114911535303
class_imbalanced,1,1017,similar,Restricted Similarity,auROC,0.4881818181818182
class_imbalanced,1,1017,similar,Restricted Similarity,auPR,0.5169929883787184
class_imbalanced,1,1017,similar,Random (20%),auROC,0.8234435466542424
class_imbalanced,1,1017,similar,Random (20%),auPR,0.1242181982184446
class_imbalanced,1,1017,diverse,Restricted Similarity,auROC,0.6154545454545455
class_imbalanced,1,1017,diverse,Restricted Similarity,auPR,0.6355573916472559
class_imbalanced,1,1017,diverse,Random (20%),auROC,0.3657527077309949
class_imbalanced,1,1017,diverse,Random (20%),auPR,0.036882660567659
class_imbalanced,1,2034,random,Restricted Similarity,auROC,0.5518181818181818
class_imbalanced,1,2034,random,Restricted Similarity,auPR,0.5651924189018226
class_imbalanced,1,2034,random,Random (20%),auROC,0.9106842352720922
class_imbalanced,1,2034,random,Random (20%),auPR,0.3260553240886549
class_imbalanced,1,2034,similar,Restricted Similarity,auROC,0.4981818181818181
class_imbalanced,1,2034,similar,Restricted Similarity,auPR,0.5284516356444667
class_imbalanced,1,2034,similar,Random (20%),auROC,0.8388006522807487
class_imbalanced,1,2034,similar,Random (20%),auPR,0.1395100776318652
class_imbalanced,1,2034,diverse,Restricted Similarity,auROC,0.6486363636363637
class_imbalanced,1,2034,diverse,Restricted Similarity,auPR,0.6648055427704713
class_imbalanced,1,2034,diverse,Random (20%),auROC,0.4042215286686537
class_imbalanced,1,2034,diverse,Random (20%),auPR,0.0474685126540631
class_imbalanced,1,4068,random,Restricted Similarity,auROC,0.64
class_imbalanced,1,4068,random,Restricted Similarity,auPR,0.6113025557631798
class_imbalanced,1,4068,random,Random (20%),auROC,0.9152721134023908
class_imbalanced,1,4068,random,Random (20%),auPR,0.3823022607784121
class_imbalanced,1,4068,similar,Restricted Similarity,auROC,0.450909090909091
class_imbalanced,1,4068,similar,Restricted Similarity,auPR,0.4889151937245018
class_imbalanced,1,4068,similar,Random (20%),auROC,0.8485189120995313
class_imbalanced,1,4068,similar,Random (20%),auPR,0.151020609072951
class_imbalanced,1,4068,diverse,Restricted Similarity,auROC,0.7095454545454546
class_imbalanced,1,4068,diverse,Restricted Similarity,auPR,0.6890729402463421
class_imbalanced,1,4068,diverse,Random (20%),auROC,0.4413237193192963
class_imbalanced,1,4068,diverse,Random (20%),auPR,0.0349712913302832
class_imbalanced,1,8136,random,Restricted Similarity,auROC,0.625909090909091
class_imbalanced,1,8136,random,Restricted Similarity,auPR,0.6469427920572497
class_imbalanced,1,8136,random,Random (20%),auROC,0.916395414887574
class_imbalanced,1,8136,random,Random (20%),auPR,0.4429147946893281
class_imbalanced,1,8136,similar,Restricted Similarity,auROC,0.4168181818181818
class_imbalanced,1,8136,similar,Restricted Similarity,auPR,0.4670254291001158
class_imbalanced,1,8136,similar,Random (20%),auROC,0.8636095527430468
class_imbalanced,1,8136,similar,Random (20%),auPR,0.1518424002185801
class_imbalanced,1,8136,diverse,Restricted Similarity,auROC,0.7154545454545455
class_imbalanced,1,8136,diverse,Restricted Similarity,auPR,0.7161185273573663
class_imbalanced,1,8136,diverse,Random (20%),auROC,0.8302453179815463
