,Name,SMILES
84,BRD-K62426841,Cc1ccc(cc1C)N1NC(=O)/C(=N/O)C1=O
85,BRD-K83378153,CCC1=NN(C)C2=C(N(C)N1)C(=O)C2=O
86,BRD-K83857919,CC1(C)N=C(N)N=C(N)N1c1ccccc1
87,BRD-K99471787,NC(=O)c1cnn2c(c(cnc12)C#N)N
88,BRD-K91605397,OC(=O)CNS(=O)(=O)c1ccccc1
89,BRD-K99023700,CCC(=O)Nc1nn2c(nnc2s1)C
90,BRD-K23080931,NC(=O)CCN1C(=O)c2ccccc2C1=O
91,BRD-K85082048,CSc1nc(cc(n1)NC(=O)N)C
92,BRD-K03054585,OC(=O)CCCNC1=NNC(=O)NC1=O
93,BRD-K29536839,Cc1nnsc1-c1onc(c1C(=O)N)C
94,BRD-K46663134,ON/C=N\c1nonc1-c1cccnc1
95,BRD-K67339678,CSc1nc(cc(n1)OCCO)C
96,BRD-A29721839,CCN1CCC[C@@H]1CN1CNC(=S)NC1
97,BRD-A27691778,OC(=O)CCC(=O)N[C@H]1CCCCNC1=O
98,BRD-A03527514,CC1=CN2[C@H]3C[C@@H](OC2=NC1=O)[C@@H](CO)O3
99,BRD-K15434743,CCn1nnc(n1)NC(=O)Cc1ccccc1
100,BRD-K08065209,S=C1NCN(CN1)Cc1cccs1
101,BRD-K78008305,O=C(NN1CCOCC1)Nc1ccno1
102,BRD-K93974658,O=C1NC(=S)NC(=O)C1c1ccccc1
103,BRD-K31168509,O=C1NC(=O)C(=NN1c1ccccc1)C#N
104,BRD-K04410489,O=C1NC(=S)NC(=O)C1=Cc1ccccc1
105,BRD-K49713511,NNC(=O)C1=C(O)C2=C(CCCC2)NC1=O
106,BRD-K23087802,CC1=C(/C=C/C(=O)O)C(=O)NC(=O)N1
107,BRD-K44891661,CN(C)S(=O)(=O)NCc1ccc(cc1)C
108,BRD-K70953719,O=C1NC=C(/N=C/c2ccncc2)C(=O)N1
109,BRD-K39470106,CN(C)c1nc(nc(n1)Cn1ccnc1)N
110,BRD-K08419385,Nc1cc(nc(n1)SCCC(=O)O)N
111,BRD-K62757889,O=C1CSC(=Nc2nccs2)N1
112,BRD-A22992002,CN(CP(=O)(O)CN1CCCCC1)C=O
113,BRD-K31534548,Cn1nnc2cc(ccc12)C(=O)NC1CC1
114,BRD-A06475750,CCOC(=O)[C@@H](N)Cc1ccccc1
115,BRD-K96766407,CCOC(=O)CN1C=Nc2ccccc2C1=O
116,BRD-A71509333,OC(=O)[C@H]1NC(=O)[C@@H]1Cc1ccccc1
117,BRD-A66661696,COC(=O)[C@H]1CNCCN1c1ccccc1
118,BRD-A03877259,CC(C)(CO)NC(=S)NC[C@H]1CCCO1
119,BRD-A64602753,O=C1NC(=O)C(=C[C@H]2CCC=CC2)C(=O)N1
120,BRD-A94332126,O=C1N[C@H](C2=C(COC2=O)N1)c1ccccc1
121,BRD-K67355215,CCOC(=O)/C(=C\1/C=CN(C)C=N1)C#N
122,BRD-K18346355,COC(=O)CCN1C=C(F)C(=NC1=O)N
123,BRD-K40752097,c1ccc(cc1)-c1cccs1
