auPR,auROC
0.3321932582842533,0.7330942907374849
0.34713068398563895,0.7283280197178597
0.31566333156025866,0.732580033704305
0.3229229487566589,0.7312694353547504
0.3101360338334256,0.7261550454110832
0.3753361936524994,0.7471935978644593
0.3578551937605335,0.7455235243150484
0.2968629518745368,0.7313225715094874
0.3620564157294343,0.740553821737314
0.3324591485621831,0.738224383185982
0.2998180008801936,0.7097090550176512
0.3590203702143165,0.7538702468377678
0.3131287675867833,0.7258156189450721
0.3302583422402022,0.724184100653056
0.32132392270053445,0.7302336308397195
0.31515582457109753,0.7137730595489455
0.32768154925205184,0.7207591319879652
0.3415716040189059,0.7278178285118232
0.36888487613635795,0.7450005748238375
0.3020811627660781,0.7312945313222912
