Value,Metric,Model
0.472996642464842,auPR,FFN:Scaffold
0.445311993250241,auPR,FFN:Scaffold
0.4219114590966938,auPR,FFN:Scaffold
0.4648534725610262,auPR,FFN:Scaffold
0.3887908368109213,auPR,FFN:Scaffold
0.3074090158262707,auPR,FFN:Scaffold
0.4844218787716609,auPR,FFN:Scaffold
0.3342001843994985,auPR,FFN:Scaffold
0.3891240295267571,auPR,FFN:Scaffold
0.3568615774422046,auPR,FFN:Scaffold
0.3359493806448499,auPR,FFN:Scaffold
0.3214381813166458,auPR,FFN:Scaffold
0.3715129509817109,auPR,FFN:Scaffold
0.2150225943707178,auPR,FFN:Scaffold
0.5264928242524299,auPR,FFN:Scaffold
0.364888249619001,auPR,FFN:Scaffold
0.2855239492347468,auPR,FFN:Scaffold
0.294520199508936,auPR,FFN:Scaffold
0.414697246042463,auPR,FFN:Scaffold
0.4893055330895104,auPR,FFN:Scaffold
0.5139960803681809,auPR,FFN:Scaffold
0.2567070817358764,auPR,FFN:Scaffold
0.5125707767513952,auPR,FFN:Scaffold
0.3960900844403311,auPR,FFN:Scaffold
0.3293478902502414,auPR,FFN:Scaffold
0.38225659232068,auPR,FFN:Scaffold
0.3272386225533926,auPR,FFN:Scaffold
0.3716671728425276,auPR,FFN:Scaffold
0.3033319562585381,auPR,FFN:Scaffold
0.7959490740740741,auROC,FFN:Scaffold
0.8902496689994326,auROC,FFN:Scaffold
0.8967140481704886,auROC,FFN:Scaffold
0.8695662240295344,auROC,FFN:Scaffold
0.8793470976013772,auROC,FFN:Scaffold
0.8264988149356957,auROC,FFN:Scaffold
0.8044377041898509,auROC,FFN:Scaffold
0.8872606709439024,auROC,FFN:Scaffold
0.910294284204168,auROC,FFN:Scaffold
0.8958561824288954,auROC,FFN:Scaffold
0.783536847767617,auROC,FFN:Scaffold
0.8196366732491915,auROC,FFN:Scaffold
0.8194456600701951,auROC,FFN:Scaffold
0.8113676808691472,auROC,FFN:Scaffold
0.7893832589289547,auROC,FFN:Scaffold
0.8748045243347257,auROC,FFN:Scaffold
