hit,SMILES,name,egan,ghose,lipinski,muegge,brenk,pains,hbond_donor,hbond_acceptor,MW,n_atoms,n_carbons,n_heteroatoms,n_rings,n_rot_bonds,MR,logp,tpsa
1,ONC(=O)c1ccc(cc1)C(=O)N/N=C/c1cc(cc(c1O)[N+](=O)[O-])Br,BRD-K43273231,False,True,True,False,True,True,4,7,421.986196172,26,15,11,2,5,93.21610000000003,1.9457999999999998,154.16000000000003
1,[O-][N+](=O)c1ccc(o1)C(=O)Nc1ccccc1Br,BRD-K77597861,True,False,True,True,True,False,1,4,309.958918804,18,11,7,2,3,67.45760000000001,3.2026000000000012,85.38
1,CNC1=CC(=O)c2ccccc2C1=O,BRD-K12290434,True,False,True,False,False,True,1,3,187.063328528,14,11,3,2,1,52.245700000000014,1.1689,46.17
1,[O-][N+](=O)c1ccc(o1)/C=C/C=N/N1CC(=O)NC1=O,BRD-K00003314,True,False,True,True,True,False,1,6,264.04946935600003,19,10,9,2,4,63.133100000000006,0.7385999999999999,118.04999999999998
1,Oc1ccccc1C(=O)c1[nH]c(c(c1-n1c(c(cc1C(=O)c1ccccc1O)Cl)Cl)Cl)Cl,BRD-K57261999,False,False,False,False,False,False,3,5,507.95511758399994,32,22,10,4,5,123.23829999999997,6.292200000000003,95.32000000000001
1,[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)Nc1cc(cc(c1)Cl)Cl,BRD-K97126579,True,True,True,True,True,False,1,5,354.97627568400003,23,13,10,2,4,84.166,4.062100000000001,115.38
1,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CN1C=CC(=N)N1CCO)c1csc(n1)N,BRD-K72339976,False,False,False,False,True,False,5,13,522.1103724240002,35,19,16,4,9,125.11940000000003,-1.4106299999999963,201.15
1,[O-][N+](=O)c1cnc(s1)NC(=O)c1cccs1,BRD-K93862950,True,False,True,True,True,False,1,6,254.97723302,16,8,8,2,3,61.04060000000001,2.3651,85.13
1,[O-][N+](=O)c1cnc(s1)NC(=O)c1ccc(c(c1)Cl)[N+](=O)[O-],BRD-K75505981,True,True,True,True,True,False,1,7,327.96691794,21,10,11,2,4,74.82800000000002,2.8652000000000006,128.27
1,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(s1)[N+](=O)[O-],BRD-K81967315,True,True,True,True,True,False,2,6,291.031376768,20,12,8,2,4,74.14040000000001,2.1258,104.83000000000001
1,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)c1cc2ccccc2o1,BRD-K47874046,True,True,True,True,True,False,1,6,299.05422038800003,22,14,8,3,4,76.63660000000002,2.6979000000000006,110.88000000000001
1,[O-][N+](=O)c1cccc(c1)NCC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],BRD-K73819439,False,True,True,False,True,False,2,8,333.07093307199995,24,13,11,2,7,82.68520000000004,1.6581999999999997,152.91000000000003
1,CCCCCC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],BRD-K75855222,True,False,True,True,True,False,1,5,253.10625596,18,11,7,1,7,65.24110000000002,2.2182000000000004,97.74000000000001
1,Oc1ccccc1C(=O)N/N=C/c1cc(cc(c1O)Cl)Cl,BRD-K82837433,True,True,True,True,True,True,3,4,324.00684753999997,21,14,7,2,3,81.2938,3.168500000000001,81.92
1,ONC(=O)c1cccc(c1)C(=O)N/N=C/c1cc(cc(c1O)Cl)Cl,BRD-K88860058,True,True,True,True,True,True,4,5,367.012661192,24,15,9,2,4,88.8817,2.5819000000000005,111.02000000000001
1,CC(C)[C@@H]1N(C)C(=O)c2ccccc2O[C@H](C)CC=CC[C@H](NC1=O)c1ccccc1,BRD-M80253348,True,True,True,True,True,False,1,3,420.241292884,31,26,5,3,2,122.95120000000004,4.7580000000000044,58.64
1,CC(C)[C@H]1N(C)C(=O)c2ccccc2O[C@H](C)CC=CC[C@H](NC1=O)c1ccc(cc1)F,BRD-M96615663,True,True,True,True,True,False,1,3,438.23187107200005,32,26,6,3,2,122.90920000000006,4.8971000000000044,58.64
1,CC(C)[C@H]1N(C)C(=O)c2ccccc2O[C@H](C)CC=CC[C@H](NC1=O)c1ccccc1,BRD-M01022795,True,True,True,True,True,False,1,3,420.241292884,31,26,5,3,2,122.95120000000004,4.7580000000000044,58.64
1,CN1C[C@H]2C[C@@H]1CN2c1cc2c(cc1F)C(=O)C(=CN2C1CC1)C(=O)O,BRD-K17696061,True,True,True,True,False,False,1,5,357.14886971999994,26,19,7,5,3,95.56530000000005,2.0664,65.78
1,OC(=O)C1=CN(C2CC2)c2c(cc(c(c2C#N)N2C[C@@H]3NCCO[C@H]3C2)F)C1=O,BRD-K98384930,True,True,True,True,False,False,2,7,398.13903330799997,29,20,9,5,3,101.85500000000005,1.2223800000000002,107.59
1,CO/N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CN1C=CC(=N)N1CCO)c1csc(n1)N,BRD-K37910175,False,False,False,False,True,False,5,13,522.1103724240002,35,19,16,4,9,125.11940000000003,-1.4106299999999963,201.15
1,Oc1ccc2ccccc2c1SSc1c(ccc2ccccc12)O,BRD-K38727704,False,False,False,False,True,False,2,4,350.04352168799994,24,20,4,4,3,102.93960000000001,6.203600000000003,40.46
1,C[C@H]1COc2c(c(cc3c2N1C=C(C(=O)O)C3=O)F)F,BRD-A51661487,True,True,True,True,False,False,1,4,281.049964208,20,13,7,3,1,65.28930000000001,1.9313,68.53
1,[O-][N+](=O)c1ccc(s1)/C=N/NC(=O)Nc1ccccc1,BRD-K34242844,True,True,True,True,True,False,2,5,290.04736118,20,12,8,2,4,77.16380000000002,2.8119000000000005,96.63
1,CCCCCCC[N+](CC)(CC)CCCCc1ccc(cc1)Cl,BRD-K02680176,False,False,False,False,True,False,0,0,338.26090428409003,23,21,2,1,13,104.22540000000009,6.489700000000008,0.0
1,OC(=O)C[C@@H](S[Au])C(=O)O,BRD-A22476073,True,False,True,False,False,False,2,3,345.95742334,10,4,6,0,4,31.26759999999999,0.10930000000000012,74.6
1,[O-][N+](=O)c1ccc(cc1)NC(=S)NCc1ccc(c(c1)Cl)Cl,BRD-K06741946,True,True,True,True,True,False,2,3,354.994902952,22,14,8,2,4,92.61880000000001,4.388200000000002,67.2
1,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(c(c4c(c3C2=O)C(=O)/C(=C/NN2CCN(C)CC2)[C@@H](NC(=O)/C(=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)C)C4=O)O)C,BRD-A46188889,False,False,False,False,True,True,5,15,822.4051232960003,59,43,16,6,4,215.23029999999943,2.7509200000000025,213.49999999999994
1,[O-][N+](=O)c1cnc(s1)NC(=O)c1cccc(c1)Cl,BRD-K92141162,True,False,True,True,True,False,1,5,282.98183973199997,18,10,8,2,3,68.17360000000001,2.9570000000000007,85.13
1,[O-][N+](=O)c1ccc(o1)/C=N/NS(=O)(=O)c1ccc(cc1)Cl,BRD-K20357357,True,True,True,True,True,False,1,6,328.987319036,21,11,10,2,5,74.72990000000001,2.1536,114.81
1,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(ccc(c4C(=O)[C@@H]3C(=O)[C@]2(O)C(=C(C(=O)N)C1=O)O)O)Cl,BRD-A34145622,False,True,True,False,True,False,5,9,464.0986433119999,32,21,11,4,2,108.78210000000004,-0.3618999999999994,178.45999999999998
1,O=C1C=CC(=O)c2ccccc21,BRD-K23330054,True,False,True,False,False,True,0,2,158.036779432,12,10,2,2,0,44.243000000000016,1.6218000000000001,34.14
