Mode,Seed,N (negatives),Data Selection,Test Set,Metric,Value
class_balanced,1,508,similar,Restricted Similarity,auPR,0.4399083333071322
class_balanced,1,508,similar,Random (20%),auROC,0.7152414779073404
class_balanced,1,508,similar,Random (20%),auPR,0.076763147693894
class_balanced,1,508,diverse,Restricted Similarity,auROC,0.4849999999999999
class_balanced,1,508,diverse,Restricted Similarity,auPR,0.5335770154922465
class_balanced,1,508,diverse,Random (20%),auROC,0.3318488946755935
class_balanced,1,508,diverse,Random (20%),auPR,0.0221501459040984
class_balanced,1,1017,random,Restricted Similarity,auROC,0.4527272727272727
class_balanced,1,1017,random,Restricted Similarity,auPR,0.5414258524591458
class_balanced,1,1017,random,Random (20%),auROC,0.8608797492995323
class_balanced,1,1017,random,Random (20%),auPR,0.2351649771886487
class_balanced,1,1017,similar,Restricted Similarity,auROC,0.5004545454545454
class_balanced,1,1017,similar,Restricted Similarity,auPR,0.5204967575397508
class_balanced,1,1017,similar,Random (20%),auROC,0.7674023972274876
class_balanced,1,1017,similar,Random (20%),auPR,0.0795920364181861
class_balanced,1,1017,diverse,Restricted Similarity,auROC,0.514090909090909
class_balanced,1,1017,diverse,Restricted Similarity,auPR,0.5816082101710071
class_balanced,1,1017,diverse,Random (20%),auROC,0.3342210180770695
class_balanced,1,1017,diverse,Random (20%),auPR,0.0230825759930354
class_balanced,1,2034,random,Restricted Similarity,auROC,0.49
class_balanced,1,2034,random,Restricted Similarity,auPR,0.5298935538595527
class_balanced,1,2034,random,Random (20%),auROC,0.874171086475067
class_balanced,1,2034,random,Random (20%),auPR,0.2447811394870439
class_balanced,1,2034,similar,Restricted Similarity,auROC,0.4636363636363636
class_balanced,1,2034,similar,Restricted Similarity,auPR,0.5363416556669165
class_balanced,1,2034,similar,Random (20%),auROC,0.7548609914412086
class_balanced,1,2034,similar,Random (20%),auPR,0.0814595923835781
class_balanced,1,2034,diverse,Restricted Similarity,auROC,0.6063636363636364
class_balanced,1,2034,diverse,Restricted Similarity,auPR,0.618002851320167
class_balanced,1,2034,diverse,Random (20%),auROC,0.3892803424367558
class_balanced,1,2034,diverse,Random (20%),auPR,0.0299960896953885
class_balanced,1,4068,random,Restricted Similarity,auROC,0.6013636363636363
class_balanced,1,4068,random,Restricted Similarity,auPR,0.6369172476155575
class_balanced,1,4068,random,Random (20%),auROC,0.8810943892367293
class_balanced,1,4068,random,Random (20%),auPR,0.2803200296282096
class_balanced,1,4068,similar,Restricted Similarity,auROC,0.5827272727272726
class_balanced,1,4068,similar,Restricted Similarity,auPR,0.5952360093621959
class_balanced,1,4068,similar,Random (20%),auROC,0.8226351099792998
class_balanced,1,4068,similar,Random (20%),auPR,0.1236323526822092
class_balanced,1,4068,diverse,Restricted Similarity,auROC,0.64
class_balanced,1,4068,diverse,Restricted Similarity,auPR,0.6599524464230302
class_balanced,1,4068,diverse,Random (20%),auROC,0.4166459238835596
class_balanced,1,4068,diverse,Random (20%),auPR,0.0590552321246532
class_balanced,1,8136,random,Restricted Similarity,auROC,0.6013636363636363
class_balanced,1,8136,random,Restricted Similarity,auPR,0.6218399465234425
class_balanced,1,8136,random,Random (20%),auROC,0.8944878447290994
