auPR,auROC
0.4144157133663772,0.918893736048978
0.4123152207664475,0.890598851361631
0.46165507314394144,0.9104516133756051
0.4818363523401941,0.9059726851530157
0.32954211548305684,0.9112681958251139
0.4876933041767241,0.9356131292085635
0.4455197102692495,0.9149340702072752
0.4350413984661473,0.9056013527795392
0.49146197607596925,0.9234440108398654
0.463912285168043,0.9006767831363228
0.4840777509667843,0.9189070426806853
0.4162346842448578,0.9130242343996067
0.5094316575392805,0.9194246022433941
0.40028120681443624,0.9106059946385366
0.42799210918741404,0.91234102975676
0.3796406439429903,0.9012274421638486
0.4169868710524446,0.9064700162279234
0.3666092940633934,0.8984113967456696
0.46334103363088,0.9187899593141529
0.5446639472699507,0.9022578708644611
